Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","12/11/2021 09:33 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=S7uCAi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:,"2021,2021"
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2021,Angola,AGO,Botswana,BWA,0,0,0,,0,6
2021,Angola,AGO,Brazil,BRA,1155,5732,0,,0,0
2021,Angola,AGO,Canada,CAN,445,1047,0,,0,0
2021,Angola,AGO,"Central African Rep.",CAF,12,0,0,,0,0
2021,Angola,AGO,Chile,CHL,0,5,0,,0,0
2021,Angola,AGO,Cameroon,CMR,5,0,0,,0,0
2021,Angola,AGO,Congo,COG,7,45,0,,0,0
2021,Angola,AGO,"Dem. Rep. of the Congo",COD,415,25,0,,0,0
2021,Angola,AGO,"Costa Rica",CRI,0,53,0,,0,0
2021,Angola,AGO,Cyprus,CYP,0,5,0,,0,0
2021,Angola,AGO,Ecuador,ECU,5,0,0,,0,0
2021,Angola,AGO,Finland,FIN,75,11,0,,0,0
2021,Angola,AGO,France,FRA,3883,1426,0,,0,0
2021,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,150,148,0,,0,0
2021,Angola,AGO,Germany,DEU,800,421,0,,0,0
2021,Angola,AGO,Greece,GRC,15,65,0,,0,0
2021,Angola,AGO,Hungary,HUN,5,0,0,,0,0
2021,Angola,AGO,Indonesia,IDN,7,0,0,,0,0
2021,Angola,AGO,Ireland,IRL,53,21,0,,0,0
2021,Angola,AGO,Italy,ITA,5,12,0,,0,0
2021,Angola,AGO,"Rep. of Korea",KOR,5,34,0,,0,0
2021,Angola,AGO,Luxembourg,LUX,9,5,0,,0,0
2021,Angola,AGO,Mexico,MEX,10,247,0,,0,0
2021,Angola,AGO,Morocco,MAR,0,6,0,,0,0
2021,Angola,AGO,Mozambique,MOZ,5,0,0,,0,0
2021,Angola,AGO,Netherlands,NLD,23,12,0,,0,0
2021,Angola,AGO,Norway,NOR,8,0,0,,0,0
2021,Angola,AGO,Peru,PER,0,10,0,,0,0
2021,Angola,AGO,Portugal,PRT,0,34,0,,0,0
2021,Angola,AGO,Romania,ROU,7,0,0,,0,0
2021,Angola,AGO,"South Africa",ZAF,24,12,0,,0,0
2021,Angola,AGO,Rwanda,RWA,9,0,0,,0,0
2021,Angola,AGO,Spain,ESP,35,55,0,,0,0
2021,Angola,AGO,Slovakia,SVK,24,0,0,,0,0
2021,Angola,AGO,Eswatini,SWZ,13,0,0,,0,0
2021,Angola,AGO,Sweden,SWE,22,30,0,,0,0
2021,Angola,AGO,Switzerland,CHE,728,51,0,,0,0
2021,Angola,AGO,Ukraine,UKR,24,5,0,,0,0
2021,Angola,AGO,Uruguay,URY,14,0,0,,0,0
2021,Angola,AGO,"United States of America",USA,271,3228,0,,0,0
2021,Angola,AGO,Zambia,ZMB,0,0,0,,0,19337
2021,"Antigua and Barbuda",ATG,Canada,CAN,97,27,0,,0,0
2021,"Antigua and Barbuda",ATG,"United Kingdom of Great Britain and Northern Ireland",GBR,5,9,0,,0,0
2021,"Antigua and Barbuda",ATG,"United States of America",USA,6,18,0,,0,0
2021,Egypt,EGY,Albania,ALB,5,0,0,,0,0
2021,Egypt,EGY,Argentina,ARG,5,20,0,,0,0
2021,Egypt,EGY,Armenia,ARM,5,0,0,,0,0
2021,Egypt,EGY,Australia,AUS,1396,312,0,,0,0
2021,Egypt,EGY,Austria,AUT,221,165,0,,0,0
2021,Egypt,EGY,Bahrain,BHR,0,5,0,,0,0
2021,Egypt,EGY,Belgium,BEL,99,80,0,,0,0
2021,Egypt,EGY,Brazil,BRA,60,489,0,,0,0
2021,Egypt,EGY,"Bosnia and Herzegovina",BIH,0,0,0,,0,9
2021,Egypt,EGY,Bulgaria,BGR,17,5,0,,0,0
2021,Egypt,EGY,Canada,CAN,3384,539,0,,0,0
2021,Egypt,EGY,Congo,COG,0,0,0,,0,5
2021,Egypt,EGY,Colombia,COL,0,5,0,,0,0
2021,Egypt,EGY,Cyprus,CYP,119,649,0,,0,0
2021,Egypt,EGY,Czechia,CZE,8,5,0,,0,0
2021,Egypt,EGY,Denmark,DNK,17,5,0,,0,0
2021,Egypt,EGY,Ecuador,ECU,0,7,0,,0,0
2021,Egypt,EGY,Estonia,EST,5,0,0,,0,0
2021,Egypt,EGY,Ethiopia,ETH,5,0,0,,0,0
2021,Egypt,EGY,Finland,FIN,26,26,0,,0,0
2021,Egypt,EGY,France,FRA,1175,366,0,,0,0
2021,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,979,723,0,,0,0
2021,Egypt,EGY,Georgia,GEO,64,85,0,,0,0
